,precinct,count
0,104,113430
1,62,84886
2,114,71401
3,102,61788
4,68,61400
5,108,53162
6,84,53068
7,66,52607
8,75,51468
9,109,49208
10,50,48868
11,61,47700
12,70,45450
13,78,43160
14,115,38992
15,106,37496
16,47,36835
17,45,36110
18,34,35939
19,107,35786
20,72,35640
21,52,34584
22,43,32650
23,63,32399
24,44,31054
25,110,30820
26,88,30792
27,49,30502
28,94,29449
29,77,28046
30,18,27904
31,19,27007
32,105,26709
33,1,25970
34,67,25413
35,112,24705
36,90,23977
37,83,23965
38,76,23431
39,60,23363
40,111,23155
41,71,22701
42,79,22513
43,122,22221
44,20,20860
45,46,20543
46,103,20170
47,120,19836
48,121,19414
49,123,18721
50,100,18356
51,113,17130
52,33,16804
53,40,16628
54,28,15936
55,73,15218
56,5,14798
57,17,14500
58,7,14409
59,24,14379
60,32,14244
61,69,13936
62,81,13888
63,9,13750
64,13,13699
65,42,13594
66,10,12906
67,14,12135
68,30,11686
69,48,11340
70,25,11227
71,6,10550
72,41,9853
73,23,9550
74,26,8193
75,101,6809
76,22,1167
